epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9825,0.88423,2.60576,1.37493,0.00456,0.9625,0.60139,0.39613,0.7961,2.90567,1.37861,0.0004,0.0004,0.0004
2,17.8091,0.90798,1.58844,1.35264,0.4667,0.69167,0.6247,0.39688,1.09838,1.83033,1.697,0.000804456,0.000804456,0.000804456
3,24.1228,0.97875,1.63334,1.43363,0.81688,0.72451,0.87529,0.5915,1.02166,1.62947,1.61698,0.00120075,0.00120075,0.00120075
4,30.4235,0.93236,1.43269,1.36922,0.70963,0.79317,0.81201,0.54452,0.98121,2.0902,1.61841,0.00121287,0.00121287,0.00121287
5,36.6797,0.92115,1.38917,1.36983,0.71811,0.68114,0.74139,0.52329,1.02459,2.16647,1.62799,0.0012005,0.0012005,0.0012005
6,42.9443,0.96301,1.31212,1.37186,0.67801,0.53698,0.57689,0.39995,1.08014,2.05907,1.71763,0.00118812,0.00118812,0.00118812
7,49.1987,0.9289,1.21276,1.34808,0.82225,0.56629,0.73641,0.41664,1.31717,1.74748,1.90796,0.00117575,0.00117575,0.00117575
8,55.5482,0.92846,1.19467,1.34659,0.7586,0.70018,0.79429,0.54009,1.08776,1.41686,1.65291,0.00116337,0.00116337,0.00116337
9,61.8149,0.90989,1.10145,1.35742,0.65653,0.73322,0.74343,0.51157,1.08827,1.87076,1.62232,0.001151,0.001151,0.001151
10,68.1348,0.88659,1.09613,1.30686,0.71711,0.79235,0.86611,0.60203,1.0724,1.27823,1.60418,0.00113863,0.00113863,0.00113863
11,74.4658,0.88125,1.04508,1.32527,0.68066,0.83342,0.85191,0.60894,1.04476,1.20579,1.61274,0.00112625,0.00112625,0.00112625
12,80.7636,0.86781,0.95241,1.30842,0.90389,0.84877,0.90811,0.65276,1.0231,0.93401,1.64962,0.00111388,0.00111388,0.00111388
13,87.1195,0.83831,0.93202,1.27856,0.87678,0.87245,0.90946,0.64467,1.05276,0.95377,1.59224,0.0011015,0.0011015,0.0011015
14,93.4458,0.85347,0.91063,1.30149,0.81043,0.6932,0.79246,0.49955,1.32037,1.2071,1.83027,0.00108913,0.00108913,0.00108913
15,99.7299,0.85322,0.91812,1.28799,0.77063,0.75417,0.85727,0.60208,0.98791,1.04641,1.53258,0.00107675,0.00107675,0.00107675
16,106.121,0.8549,0.88516,1.28879,0.84386,0.83843,0.8965,0.6396,1.07774,0.98553,1.63689,0.00106437,0.00106437,0.00106437
17,112.435,0.82059,0.8236,1.26278,0.82948,0.81555,0.88052,0.63185,1.09985,0.90425,1.6303,0.001052,0.001052,0.001052
18,118.758,0.82618,0.83414,1.27731,0.8,0.84998,0.87877,0.66543,0.95048,0.92303,1.48345,0.00103962,0.00103962,0.00103962
19,125.1,0.7773,0.81863,1.24386,0.81579,0.61273,0.84121,0.62369,0.94151,1.30054,1.51909,0.00102725,0.00102725,0.00102725
20,131.435,0.80306,0.79265,1.24892,0.857,0.84988,0.9019,0.66866,0.98513,0.8272,1.53667,0.00101488,0.00101488,0.00101488
21,137.714,0.80791,0.78178,1.25546,0.85103,0.86905,0.89854,0.68033,0.95185,0.82267,1.51086,0.0010025,0.0010025,0.0010025
22,143.988,0.79236,0.73,1.24203,0.83718,0.90418,0.90531,0.66973,0.91415,0.79189,1.47499,0.000990125,0.000990125,0.000990125
23,150.239,0.79185,0.73986,1.23608,0.90557,0.77858,0.88422,0.6728,0.90766,0.84959,1.48138,0.00097775,0.00097775,0.00097775
24,156.532,0.77391,0.69715,1.2224,0.90059,0.9265,0.94295,0.70881,0.92139,0.67199,1.46641,0.000965375,0.000965375,0.000965375
25,162.802,0.77181,0.7091,1.21321,0.90788,0.84789,0.92459,0.7083,0.87741,0.67111,1.41048,0.000953,0.000953,0.000953
26,169.071,0.75314,0.68487,1.20985,0.87788,0.84794,0.89278,0.69011,0.88013,0.79853,1.39371,0.000940625,0.000940625,0.000940625
27,175.359,0.73951,0.66987,1.20532,0.84707,0.77009,0.88029,0.67927,0.92943,0.75405,1.45977,0.00092825,0.00092825,0.00092825
28,181.696,0.76042,0.67579,1.23318,0.79511,0.85833,0.88658,0.68802,0.84306,0.79446,1.35193,0.000915875,0.000915875,0.000915875
